"filename", "language", "Python", "SQL", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\WeCluck\backend\src\api\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\Administrator\Desktop\WeCluck\backend\src\api\main\app.py", "Python", 29, 0, 0, 6, 35
"c:\Users\Administrator\Desktop\WeCluck\backend\src\api\main\controllers\authentication.py", "Python", 56, 0, 0, 11, 67
"c:\Users\Administrator\Desktop\WeCluck\backend\src\api\main\controllers\crud.py", "Python", 29, 0, 0, 8, 37
"c:\Users\Administrator\Desktop\WeCluck\backend\src\api\main\routes\authentication.py", "Python", 9, 0, 0, 4, 13
"c:\Users\Administrator\Desktop\WeCluck\backend\src\api\main\routes\comment.py", "Python", 26, 0, 0, 6, 32
"c:\Users\Administrator\Desktop\WeCluck\backend\src\api\main\routes\topic.py", "Python", 26, 0, 0, 6, 32
"c:\Users\Administrator\Desktop\WeCluck\backend\src\api\main\routes\user.py", "Python", 26, 0, 0, 6, 32
"c:\Users\Administrator\Desktop\WeCluck\backend\src\api\main\security\tokens.py", "Python", 26, 0, 0, 7, 33
"c:\Users\Administrator\Desktop\WeCluck\backend\src\config\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\Administrator\Desktop\WeCluck\backend\src\config\app.py", "Python", 56, 0, 0, 9, 65
"c:\Users\Administrator\Desktop\WeCluck\backend\src\config\db.py", "Python", 27, 0, 0, 7, 34
"c:\Users\Administrator\Desktop\WeCluck\backend\src\config\metadata.py", "Python", 10, 0, 0, 2, 12
"c:\Users\Administrator\Desktop\WeCluck\backend\src\config\provider.py", "Python", 17, 0, 0, 5, 22
"c:\Users\Administrator\Desktop\WeCluck\backend\src\create_db.py", "Python", 2, 0, 0, 1, 3
"c:\Users\Administrator\Desktop\WeCluck\backend\src\dal\_schema\entities\_base.py", "Python", 10, 0, 0, 1, 11
"c:\Users\Administrator\Desktop\WeCluck\backend\src\dal\_schema\entities\comment.py", "Python", 29, 0, 0, 8, 37
"c:\Users\Administrator\Desktop\WeCluck\backend\src\dal\_schema\entities\topic.py", "Python", 23, 0, 0, 5, 28
"c:\Users\Administrator\Desktop\WeCluck\backend\src\dal\_schema\entities\user.py", "Python", 26, 0, 0, 7, 33
"c:\Users\Administrator\Desktop\WeCluck\backend\src\dal\_schema\metadata.py", "Python", 11, 0, 0, 1, 12
"c:\Users\Administrator\Desktop\WeCluck\backend\src\dal\_schema\repository.py", "Python", 28, 0, 0, 6, 34
"c:\Users\Administrator\Desktop\WeCluck\backend\src\dal\sql\forum\db_manager.py", "Python", 11, 0, 0, 4, 15
"c:\Users\Administrator\Desktop\WeCluck\backend\src\dal\sql\forum\development-forum2.sqlite3", "SQL", 0, 26, 0, 0, 26
"c:\Users\Administrator\Desktop\WeCluck\backend\src\dal\sql\forum\models\_common.py", "Python", 11, 0, 0, 1, 12
"c:\Users\Administrator\Desktop\WeCluck\backend\src\dal\sql\forum\models\comment.py", "Python", 10, 0, 0, 1, 11
"c:\Users\Administrator\Desktop\WeCluck\backend\src\dal\sql\forum\models\topic.py", "Python", 9, 0, 0, 2, 11
"c:\Users\Administrator\Desktop\WeCluck\backend\src\dal\sql\forum\models\user.py", "Python", 9, 0, 0, 1, 10
"c:\Users\Administrator\Desktop\WeCluck\backend\src\dal\sql\forum\production-forum.sqlite3", "SQL", 0, 26, 0, 0, 26
"c:\Users\Administrator\Desktop\WeCluck\backend\src\dal\sql\repository.py", "Python", 64, 0, 0, 12, 76
"c:\Users\Administrator\Desktop\WeCluck\backend\src\run_server.py", "Python", 17, 0, 1, 4, 22
"c:\Users\Administrator\Desktop\WeCluck\backend\src\utils\basemodel_to_typeddict.py", "Python", 4, 0, 0, 1, 5
"c:\Users\Administrator\Desktop\WeCluck\backend\src\utils\enums\db_vendors.py", "Python", 4, 0, 0, 1, 5
"c:\Users\Administrator\Desktop\WeCluck\backend\src\utils\enums\environments.py", "Python", 5, 0, 0, 2, 7
"c:\Users\Administrator\Desktop\WeCluck\backend\src\utils\enums\http_methods.py", "Python", 12, 0, 0, 2, 14
"c:\Users\Administrator\Desktop\WeCluck\backend\src\utils\exceptions.py", "Python", 12, 0, 0, 4, 16
"c:\Users\Administrator\Desktop\WeCluck\backend\src\utils\jwts.py", "Python", 15, 0, 0, 5, 20
"c:\Users\Administrator\Desktop\WeCluck\backend\src\utils\passwords.py", "Python", 6, 0, 0, 5, 11
"Total", "-", 655, 52, 1, 153, 861
